route,free_flow,travel_time,time stamp
"""I-84 WB at North Powder TO I-84 WB at Exit 265 La Grande""","""18 min""","""22 min""",4/23/2024 13:00
"""I-84 WB Hood River TO Troutdale""","""63 min""","""65 min""",4/23/2024 13:00
"""I-84 WB NE 223rd Ave TO I-5""","""14 min""","""14 min""",4/23/2024 13:00
"""I-84 WB NE 223rd Ave TO I-205""","""7 min""","""7 min""",4/23/2024 13:00
"""I-84 WB NE 28th Ave TO SR14 via I-5 NB""","""10 min""","""10 min""",4/23/2024 13:00
"""I-84 WB NE 28th Ave TO ORE217 via I-5 SB""","""14 min""","""14 min""",4/23/2024 13:00
"""OR126 WB""","""OR126 WB""","""OR126 WB""",4/23/2024 13:00
"""OR126 WB 52nd St. TO I-5""","""6 min""","""7 min""",4/23/2024 13:00
"""OR35 SB""","""OR35 SB""","""OR35 SB""",4/23/2024 13:00
"""OR35 SB Parkdale TO Government Camp""",null,"""32 min""",4/23/2024 13:00
"""OR35 SB Parkdale TO Mt. Hood Meadows Dr.""",null,"""22 min""",4/23/2024 13:00
"""NB""","""NB""","""NB""",4/23/2024 13:00
"""ORE217 NB Allen Blvd TO NW 185th/US26 WB""","""10 min""","""10 min""",4/23/2024 13:00
"""ORE217 NB N. of OR99W TO US26""","""6 min""",null,4/23/2024 13:00
"""ORE217 NB N. of OR99W TO NW 185th/US26 WB""","""13 min""",null,4/23/2024 13:00
"""ORE217 NB SW Walker Rd TO I-405 via US26 EB""","""8 min""","""9 min""",4/23/2024 13:00
"""ORE217 NB SW Walker Rd TO NW 185th/US26 WB""","""9 min""","""9 min""",4/23/2024 13:00
"""SB""","""SB""","""SB""",4/23/2024 13:00
"""ORE217 SB N. of OR99W TO I-405 via I-5 NB""","""11 min""","""11 min""",4/23/2024 13:00
"""ORE217 SB N. of OR99W TO I205 via I-5 SB""","""7 min""","""7 min""",4/23/2024 13:00
"""ORE217 SB SW Walker Rd TO I-5""","""8 min""",null,4/23/2024 13:00
"""ORE217 SB SW Walker Rd TO 99W""","""6 min""","""7 min""",4/23/2024 13:00
"""ORE217 SB SW Walker Rd TO I-205 via I-5 SB""","""12 min""",null,4/23/2024 13:00
"""EB""","""EB""","""EB""",4/23/2024 13:00
"""ORE569 EB NW Expressway TO I-5""","""6 min""","""6 min""",4/23/2024 13:00
"""ORE569 EB NW Expressway TO Delta""","""3 min""","""3 min""",4/23/2024 13:00
"""WB""","""WB""","""WB""",4/23/2024 13:00
"""ORE569 WB I-5 TO W 11th / OR126""","""10 min""","""10 min""",4/23/2024 13:00
"""ORE569 WB I-5 TO River Rd""","""4 min""","""4 min""",4/23/2024 13:00
null,null,null,4/23/2024 13:00
"""ORE99W at SW Durham Rd TO ORE217 via OR99W""","""6 min""",null,4/23/2024 13:00
"""ORE99W at SW Durham Rd TO I-5 SB Exit 291 via Durham Rd (Wash County)""","""6 min""",null,4/23/2024 13:00
"""ORE99W at SW Durham Rd TO I-5 NB Exit 291 via Durham Rd (Wash County)""","""6 min""",null,4/23/2024 13:00
"""ORE99W at SW Durham Rd TO I-5 via OR99W""","""6 min""",null,4/23/2024 13:00
"""ORE99W at SW Tualatin Sherwood Rd TO ORE217 via OR99W (Washington County)""","""9 min""",null,4/23/2024 13:00
"""ORE99W at SW Tualatin Sherwood Rd TO I-5 via Tualatin Sherwood Rd (Washington County)""","""7 min""",null,4/23/2024 13:00
"""ORE99W at SW Tualatin Sherwood Rd TO I-5 via OR99W (Washington County)""","""11 min""",null,4/23/2024 13:00
"""ORE99W at SW Tualatin Sherwood Rd TO Scholls Ferry Rd via Roy Rogers Rd (Wash County)""","""6 min""",null,4/23/2024 13:00
"""ORE99W NB Dundee TO ORE99W via OR18""","""7 min""","""11 min""",4/23/2024 13:00
"""ORE99W NB Dundee TO ORE99W via OR99W North of Newberg""","""8 min""","""11 min""",4/23/2024 13:00
"""ORE99W SB Newberg TO ORE99W via OR18""","""7 min""","""14 min""",4/23/2024 13:00
"""ORE99W SB Newberg TO ORE99W via OR99W""","""8 min""","""14 min""",4/23/2024 13:00
"""SW Scholls Ferry Rd at Roy Rogers Rd TO ORE99W via Roy Rogers Rd (Washington County)""","""6 min""",null,4/23/2024 13:00
"""SW Scholls Ferry Rd at Roy Rogers Rd TO ORE217 via Scholls Ferry Rd (Washington County)""","""6 min""",null,4/23/2024 13:00
"""TV Hwy SW Cornelius Pass Rd TO US26 EB""","""7 min""",null,4/23/2024 13:00
